계열,관련 학과,일반 선택,진로 선택,멘토의 한 마디
언어·문학,"국어국문학과, 동양어학과, 서양어학과, 영어영문학과, 통번역학과","생활과 윤리, 윤리와 사상, 세계지리, 동아시아사, 세계사, 사회·문화, 제2외국어Ⅰ, 한문Ⅰ, 철학, 논술 등","심화 국어, 고전 읽기, 영어권 문화, 진로 영어, 영미 문학 읽기, 고전과 윤리, 사회문제 탐구, 제2외국어Ⅱ, 한문Ⅱ 등","- 문학과 어학 관련 전공은 해당 언어에 대한 이해와 습득뿐만 아니라, 해당 문화에 대한 폭넓은 정보와 지식이 필요해요.

- 언어학 전공을 위해서는 꼼꼼하고 정확함이 요구되며, 문학 전공은 자유롭고 창의적인 사고도 필요해요.

- 어문학과는 현재 해당 언어에 능숙한지보다 해당 언어권의 문학, 언어, 문화 등 그 나라 전반에 관심이 있으면 충분해요.

- 각 언어권 국가의 잠재력을 생각해보고 그 분야에서 자신의 진로를 설계해 본다면 보다 즐겁고 의미 있게 준비할 수 있을 거예요."
인문과학,"고고학과, 문헌정보학과, 문화재보존학과, 문화콘텐츠학과, 사학과, 심리학과, 인류학과, 철학과","생활과 윤리, 윤리와 사상, 한국지리, 세계지리, 동아시아사, 세계사, 정치와 법, 사회·문화, 제2외국어Ⅰ, 한문Ⅰ, 논술, 심리학 등","고전 읽기, 고전과 윤리, 사회문제 탐구, 제2외국어Ⅱ, 한문Ⅱ 등","- 인간과 세계에 대한 관심, 다양한 문화에 대한 깊이 있는 식견 및 인문학 전반에 대한 이해가 필요해요.

- 기본적 지식들을 바탕으로 그 사실들을 어떻게 바라볼 것인지 관점에 대해 고민하고 탐구하는 것이 중요해요.

- 관련 학문 서적들을 꾸준히 읽고 토론하며 자신의 생각을 정리해보는 습관을 길러 보세요.

- 심리학 관련 전공은 과학 실험 방법론에 대한 이해가 필요하며, 인문학적 소양뿐만 아니라 사회과학, 자연과학 전반에 대한 관심도 필요해요."
상경,"경영학과, 경제학과, 금융보험학과, 무역·유통학과, 세무·회계학과, 호텔·관광경영학과","미적분, 확률과 통계, 생활과 윤리, 한국지리, 세계지리, 세계사, 동아시아사, 경제, 정치와 법, 사회·문화, 제2외국어Ⅰ, 논리학, 심리학 등","경제 수학, 영어권 문화, 진로 영어, 사회문제 탐구, 제2외국어Ⅱ 등","- 수리적인 분석력, 판단력 및 대량의 정보를 빠르게 습득·활용하는 능력이 중요하기에 학교에서 배우는 수학의 기초를 탄탄하게 해 두는 것이 좋아요. 

- 다른 분야와의 융합을 통해 새로운 응용 학문의 개척이 얼마든지 가능해요.

- 창업, 학계, 금융계, 기업계, 공공기관, 법조계, 언론 및 마케팅 등 다양한 분야로의 진로가 열려 있어요. "
수학Ⅱ,일반선택,"사회 및 자연 현상을 이해하기 위한 수학적 개념인 함수의 극한과 연속, 미분, 적분에 관련된 원리와 법칙에 대해 학습하는 과목이다. 이를 통해 수학 문제뿐만 아니라 실생활과 다른 교과의 문제를 창의적으로 해결하는 능력을 기른다.",수능 필수,없음,"사회과학계열, 자연과학계열, 공학계열 학과 전체","경제학자, 통계학자, 물리학자, 화학자, 생명공학자, 전기전자공학자, 화학공학자, 기계공학자, 컴퓨터공학자 등","‘수학’ 교과에서 다뤘던 함수의 개념에 극한과 연속의 개념을 더하여 학습하게 된다. 미분법은 움직이는 모든 현상을 함수로 표현해 수학적으로 설명하고자 하는 개념이고 적분법은 도형의 넓이와 입체의 부피를 구하는 방법이다. 공학 분야 전반에서 사용되어 공학 수학의 기초가 되며, 물리적 현상뿐 아니라 경제학의 모형분석 등 함수를 이용하는 모든 학문에 사용된다.","● 해석 (함수의 극한, 함수의 연속, 미분계수, 도함수, 도함수의 활용, 부정적분, 정적분, 정적분의 활용)",성취도 5단계/등급 산출
미적분,일반선택,"일반선택과목인 ‘수학Ⅰ’, ‘수학Ⅱ’를 이수한 후 선택할 수 있는 과목이다. 사회 및 자연 현상을 수학적으로 관찰하고 표현하며 분석하는 학문인 미적분학을 ‘수학Ⅱ’에 이어 심화 학습한다. 자연과학, 공학, 의학 분야와 함께 경영, 경제학을 포함한 사회과학 분야에 활용된다.",수능 선택,없음,"사회과학계열, 자연과학계열, 공학계열 학과 전체","수학자, 경제학자, 통계학자, 물리학자, 화학자, 생명공학자, 전기전자공학자, 화학공학자, 기계공학자, 컴퓨터공학자 등","‘수학Ⅱ’에서 다루었던 다항함수에 대한 미적분의 영역이 ‘미적분’과목에서는 더욱 다양한 사회 및 과학 현상에 접목될 수 있도록 지수함수, 로그함수, 삼각함수의 영역까지 미적분의 개념이 확장된다.","● 해석 (수열의 극한, 급수, 여러 가지 함수의 미분, 여러 가지 미분법, 도함수의 활용, 여러 가지 적분법, 정적분의 활용)",성취도 5단계/등급 산출
확률과 통계,일반선택,"데이터 중심의 현대 정보화 사회에서 데이터를 이해하고 활용하는 기본 소양을 기르는 과목으로, 사건이 일어날 가능성을 수치화한 확률뿐 아니라 자료를 수집, 정리, 해석하는 통계에 대해 학습한다. 자연, 공학, 의학, 경영, 경제학을 포함한 사회과학, 인문학, 예술 및 체육 등 다양한 분야에서 활용된다.",수능 선택,없음,"사회과학계열, 자연과학계열, 공학계열 학과 전체","경제학자, 통계학자, 데이터과학자, 대기과학자, 임상의학연구원, 신약개발연구원, 애널리스트, 보험계리사, 스포츠기록분석원 등","‘확률과 통계’는 ‘수학I, Ⅱ’의 내용을 이해한 학생이 배우는 것이 바람직하나 이수하지 않은 학생도 선택할 수 있다. 일상생활에서 의사 결정의 합리적인 선택을 위해서 적용되며 강수확률, 스포츠 경기의 승률, 여론 조사 등에 널리 쓰인다. 자연과학, 공학, 의학뿐 아니라 인문사회, 예체능 등 다양한 분야의 연구에서 관련 개념이 핵심적으로 사용된다.","● 확률과 통계 (순열과 조합, 이항정리, 확률의 뜻과 활용, 조건부 확률, 확률분포, 통계적 추정)",성취도 5단계/등급 산출
실용 수학,진로선택,"규칙, 공간, 자료에 대해 학습함으로써 수학이 실생활의 다양한 분야에서 어떻게 활용되는지 이해하고 수학을 활용하여 실생활 문제 해결 방법을 학습하는 과목이다. ",수능 출제 과목 아님,없음,"사회과학계열, 자연과학계열, 공학계열 학과 전체","사회, 과학 전반 활동 분야",구성 내용과 수준이 높지 않다. 수학이 실생활에 어떻게 활용되는지 배울 수 있고 생활 주변에서 접하는 여러 가지 문제를 해결하는 능력을 키울 수 있다.,"● 해석기하 (식과 규칙, 도형과 규칙)
● 기하 (도형의 관찰, 도형의 표현)
● 통계 (자료의 정리, 자료의 해석)",성취도 3단계/등급 미산출
기하,진로선택,"공통과목인 ‘수학’의 좌표평면, 도형의 방정식의 내용을 바탕으로 이차곡선, 평면벡터, 공간도형과 공간좌표에 관하여 학습하며 기하학적 관점에서 심화된 수학 지식을 이해하고 활용하도록 하는 과목이다. ",수능 선택,없음,"경제학과, 통계학과, 지리학과, 물리학과, 지구과학과, 건축학과, 기계공학과, 전자공학과, 조선해양공학과, 항공운항과, 산업디자인학과 등 ","수학자, 건축가, 기계/자동차공학자, 전자공학자, 컴퓨터공학자, 항공 및 해양 관련 분야, 물리천문학자, 지리학자, 산업디자이너 등","오늘날 위성안테나, 자동차의 전조등, 망원경은 이차곡선의 성질을 활용하여 만든 대표적인 장치이다. 벡터는 어떤 물체에 작용하는 힘이나 속도 등 그 방향과 크기를 동시에 표기해야 의미가 있는 분야에 활용된다. 공간도형의 개념은 건축설계 및 기계제작, 견고해야 하지만 가벼워야 하는 비행기 제작 등에 이용된다. 수학, 물리, 천문, 지구과학, 건축, 기계, 항공, 전기전자, 컴퓨터 등 공간지각능력이 필요한 분야에 진학하고자 하는 학생은 필수적으로 학습해야 할 교과이다.","● 해석 (이차곡선, 벡터의 연산, 평면벡터의 성분과 내적, 직선과 평면, 정사영, 공간좌표)",성취도 3단계/등급 미산출
경제 수학,진로선택,‘수학Ⅰ’을 이수한 후 배울 수 있는 과목이다. 수학의 지식과 기능을 활용하여 실생활에서 접할 수 있는 경제 및 금융의 기본 개념을 이해할 수 있다.,수능 출제 과목 아님,없음,"경영학과, 경제학과, 통계학과, 금융수학과 등","회계사, 세무사, 보험계리사, 자산관리사, 감정평가사, 은행원 등","오늘날의 경제학은 수학과 밀접한 관계가 있다. 경제 지표나 환율, 세금에 대한 개념을 학습하고 수열의 개념을 활용한 원리합계의 개념을 익힐 수 있다. 또한 함수가 경제 지표를 어떻게 표현하고 있는지를 학습할 수 있으며, 미분이 경제학에 어떻게 쓰이는지 경험할 수 있다. 단, ‘미적분’에서 다루는 지수함수와 로그함수의 미분은 다루지 않는다. ","● 대수 (경제지표, 환율, 세금, 이자와 원리합계, 연속복리, 연금)
● 해석 (함수와 경제현상, 함수의 활용, 미분, 미분과 경제문제)",성취도 3단계/등급 미산출
수학과제 탐구,진로선택,"수학과제 탐구 방법을 익히고 자신의 관심과 흥미에 맞는 수학과제를 선정하여 탐구하는 과목이다. 수학과제 탐구의 목적과 절차, 연구 윤리를 학습하고, 이를 토대로 이전에 학습한 수학 내용을 더 깊이 탐구하거나 다른 교과와 수학을 융합한 흥미로운 주제를 선택하여 탐구한다.",수능 출제 과목 아님,없음,"사회과학계열, 자연과학계열, 공학계열 학과 전체","사회, 과학 전반 활동 분야","수학과제 탐구의 필요성을 이해하고 그 방법을 습득하여 자신의 관심과 흥미에 맞는 탐구과제를 선정하여 학습하는 과목이다. 이러한 능력은 자연과학, 공학, 의학, 경제/경영학을 포함한 사회과학, 인문학, 예술 및 체육 분야를 학습하는 데 기초가 된다. ","● 과제 탐구의 이해 (수학과제 탐구의 의미와 필요성, 과제 탐구 방법과 절차, 연구 윤리)
● 과제 탐구 실행 및 평가 (탐구 주제 선정, 탐구 계획 수립, 탐구 수행, 탐구 결과 정리 및 발표, 반성 및 평가)",성취도 3단계/등급 미산출
인공지능 수학,진로선택,4차 산업혁명의 핵심 분야 중 하나인 인공지능을 이해하고 활용하기 위한 과목이다. 인공지능과 관련된 수학적 지식과 함께 인공지능이 자료를 수학적으로 표현하고 분류하고 예측하며 최적화를 통해 합리적으로 의사결정 하는 과정에 대해 학습한다.,수능 출제 과목 아님,,"AI융합학부, AI학과, 인공지능학과, 컴퓨터공학과, 정보통신공학과, 산업공학과, 데이터과학과, 통계학과, 언어학과 등","데이터과학자, 소프트웨어 개발자, 사물인터넷 및 가상현실 전문가, 인공지능 접목 분야(의료, 과학, 통계, 경영, 금융 등) 연구원 등","4차 산업혁명의 핵심 기술 중 하나인 인공지능 기술은 얼굴을 인식해 카메라의 초점을 자동으로 잡아주고, 인터넷 검색에서 사용자에 따라 자동으로 추천검색어를 띄워주는 등 이미 실생활에 접목되고 있으며 앞으로도 이를 통해 다양한 분야에서 혁신과 변화가 가속될 것으로 예측되고 있다. 이 과목은 인공지능의 기본적인 원리를 이해하고 활용하기 위한 기초 소양을 제공한다.","● 인공지능과 수학(인공지능과 관련된 수학)
● 자료의 표현(텍스트 자료의 표현, 이미지 자료의 표현)
● 분류와 예측(자료의 분류, 경향성과 예측)
● 최적화(최적화와 의사 결정)",성취도 3단계/등급 미산출
영어 회화,일반선택,"실생활이나 학업과 관련한 상황에서 자주 사용하는 영어 표현을 학습하고, 자신의 생각이나 의견을 적절하게 표현하는 영어 의사소통 능력을 기른다. ",수능 출제 과목 아님,"TOEFL, TOEIC, IELTS, TEPS, OPIc 등","항공서비스학과, 호텔경영학과, 비서행정학과, 관광통역과, 국제관계학과 등","승무원, 호텔리어, 교수, 관광통역사, 외교관, 언론인, 교사 등","영어 과목 중 가장 학습 부담이 적은 과목으로, 다양한 듣기, 말하기 활동을 통해 의사소통 능력을 기를 수 있다. 관광 산업, 통역, 서비스 직종 등 외국인과의 원활한 소통이 요구되는 진로를 희망하는 학생들이 수강하면 좋은 과목이다.","● 듣기 (세부정보, 중심내용, 맥락)
● 말하기 (담화)",성취도 5단계/등급 산출
영어Ⅰ,일반선택,'영어'에서 배운 내용을 활용하여 실생활에 필요한 의사소통 능력을 향상하고 학습자의 진로 및 전공 분야와 관련한 실용적인 정보와 기초 학문 영역의 지식 및 정보를 다루는데 필요한 영어 의사소통 능력을 기른다. ,수능 필수,"TOEFL, TOEIC, IELTS, TEPS, OPIc 등","영어교육과, 영문학과, 영어통번역학과, 자율전공, 상경계열, 공학계열, 자연계열 등","통역사, 번역가, 교수, 무역관련 종사자, 교사, 언어학자 등","‘영어’에서 배운 내용을 심화하여 듣기, 말하기, 읽기, 쓰기 능력을 기르는 과목으로 실용적인 정보뿐 아니라 기초 학문 영역의 지식 및 정보 등을 폭넓게 다루므로 희망 전공에 상관없이 대학진학을 목표로 하는 학생이 이수하면 학업에 도움이 된다.","● 듣기 (세부정보, 중심내용, 맥락)
● 말하기 (담화)
● 읽기 (세부정보, 중심내용, 맥락, 함축적 의미)
● 쓰기 (문장, 작문)",성취도 5단계/등급 산출
영어 독해와 작문,일반선택,실생활의 다양한 주제와 학업과 관련한 표현을 중심으로 학습자의 진로와 전공 분야에 따라 다양한 글을 이해하며 자신의 생각을 글로 표현하는 능력을 기른다.,수능 출제 과목 아님,"TOEFL, TOEIC, IELTS, TEPS, OPIc 등","영어교육과, 영문학과, 영어통번역학과, 자율전공, 상경계열, 공학계열, 자연계열 등","영문학자, 번역가, 동시통역사, 교육학자, 무역종사자 등","대체로 ‘영어Ⅰ’에 비해 높은 수준의 지문을 다루며, 독해 능력뿐만 아니라 관련 작문 활동을 통해 생각을 구조화하고, 정제된 언어로 이를 표현하는 연습을 하여 표현력 및 영어 쓰기 실력을 함양할 수 있다. 문서로 영어 의사소통을 할 기회가 많은 영문학, 번역, 동시통역, 무역 등의 직종을 꿈꾸는 학생이 수강하기를 권한다.","● 읽기 (세부정보, 중심내용, 맥락, 함축적 의미)
● 쓰기 (문장, 작문)",성취도 5단계/등급 산출
영어Ⅱ,일반선택,일반 선택 과목군 내의 다른 과목에서 배운 내용을 심화하여 실생활의 다양한 상황에서 필요한 의사소통능력을 향상하고 학습자들의 진로 및 전공 분야와 관련된 영어 이해 능력과 표현 능력을 기른다.,수능 필수,"TOEFL, TOEIC, IELTS, TEPS, OPIc 등","영어교육과, 영문학과, 영어통번역과, 자율전공, 상경계열, 의학계열, 자연계열 등","통역사, 번역가, 영어교사, 교수, 언어학자, 무역종사자 등","다양한 진로 및 전공 분야와 관련된 주제에 대해 학습하며, ‘영어Ⅰ’이나 ‘영어 독해와 작문’에 비해 내용 및 표현이 한층 심화된 과목이다. 보고서 작성이나 에세이 쓰기 등 학문적 목적의 활동을 통해 영어 의사소통 능력을 함양할 수 있다.","● 듣기 (세부정보, 중심내용, 맥락)
● 말하기 (담화)
● 읽기 (세부정보, 중심내용, 맥락, 함축적 의미)
● 쓰기 (문장, 작문)",성취도 5단계/등급 산출
실용 영어,진로선택,실생활에 필요한 의사소통능력을 향상하고 학습자의 진로 분야와 관련된 영어 이해 능력과 표현 능력의 기초를 다진다.,수능 출제 과목 아님,"TOEFL, TOEIC, IELTS, TEPS, OPIc 등","영어통번역과, 서양어계열, 관광통역과, 상경계열, 공학계열 등","동시통역사, 관광 통역사, 큐레이터, 외교관 등","비교적 학습 부담이 적은 과목으로, 학문적 영역보다는 실생활 중심의 주제에 대해 배우며 상황과 목적에 맞게 영어로 자유롭게 의사소통하는 능력을 함양하기 희망하는 학생에게 추천한다. ","● 듣기 (세부정보, 중심내용, 맥락)
● 말하기 (담화)
● 읽기 (세부정보, 중심내용, 맥락)
● 쓰기 (문장, 작문)",성취도 3단계/등급 미산출
영어권 문화,진로선택,"글로벌 시대에 영어로 의사소통할 수 있는 능력을 기르고, 영어를 사용하는 다양한 문화적, 언어적 배경의 사람들과 의사소통을 위한 문화적 소양, 타인에 대한 배려, 세계 시민 의식을 기른다.",수능 출제 과목 아님,"TOEFL, TOEIC, IELTS, TEPS, OPIc 등","영문학과, 통번역학과, 서양어계열, 항공서비스학과, 관광 통역과 등","영문학과 교수, 승무원, 관광 통역사, 동시통역사, 큐레이터 등","영어권 문화의 생활양식, 풍습, 사고방식 등을 학습하며 영어 이해 및 표현력을 기를 수 있는 과목으로, 항공서비스, 관광통역 등 타문화권 사람들과 교류할 기회가 많은 직종에 종사하기 희망하거나, 언어로서의 영어의 배경이 되는 문화에 대한 통섭적 이해를 갖기 원하는 학생에게 권하는 과목이다.","● 듣기 (세부정보, 중심내용, 맥락)
● 말하기 (담화)
● 읽기 (세부정보, 중심내용, 맥락)
● 쓰기 (문장, 작문)",성취도 3단계/등급 미산출
진로 영어,진로선택,"다양한 직업 및 진로에 관한 정보를 이해하고 다양한 적성, 흥미, 진로, 전공에 따라 미래 진로 탐색 및 설계의 기회를 제공한다. 취업 및 일반적인 직무 수행 능력에 필요한 기초 영어 의사소통 능력을 기른다.",수능 출제 과목 아님,"TOEFL, TOEIC, IELTS, TEPS, OPIc 등","외국어학부, 무역학과, 자율전공 등","교수, 교사, 언론인, 금융업, 무역관계자 등","‘영어권 문화’에 비해 어려운 내용을 다루며, 영어로 자신의 진로를 탐색할 수 있고, 업무계획서 및 이메일 작성 등 다양한 직업 현장에서 영어로 실무를 수행하기 위한 기본 소양을 기를 수 있다. 따라서 영어교육, 통/번역, 무역, 관광 등의 분야나 해외취업에 관심이 있는 학생들에게 수강을 권한다.","● 듣기 (세부정보, 중심내용, 맥락)
● 말하기 (담화)
● 읽기 (세부정보, 중심내용, 맥락)
● 쓰기 (문장, 작문)",성취도 3단계/등급 미산출
